time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,lumbar_extension
0,-0.120766393,-0.055594393,-0.026422936,0,0.93005293,0.02109,0.143179355,0.119646459,0,-0.220179137,0.329245538,0.201877609,-0.074611829,0,-0.373975957,0.40839357,-0.0872665
0.008,-0.120971875,-0.05528744,-0.026441276,0.00031,0.9299294,0.02158,0.143188958,0.119958779,0,-0.220266537,0.329284446,0.201879679,-0.074534934,0,-0.374145658,0.408432996,-0.0872665
0.017,-0.123268425,-0.056015881,-0.027248801,-0.00026,0.92944013,0.02234,0.150047172,0.121884682,0,-0.22819357,0.333301477,0.208880267,-0.076138861,0,-0.382598395,0.411246164,-0.0872665
0.025,-0.123193337,-0.055637423,-0.028580101,-0.00003,0.92942709,0.02299,0.14991296,0.122269658,0,-0.228784823,0.333464673,0.208740868,-0.076284691,0,-0.383674315,0.411111783,-0.0872665
0.033,-0.12372746,-0.055826503,-0.030537908,-0.00002,0.92898431,0.02364,0.153146574,0.123493645,0,-0.234502492,0.338295025,0.214819989,-0.077353258,0,-0.396080462,0.414729494,-0.0872665
0.042,-0.122331314,-0.055436022,-0.03233493,0.00067,0.92882291,0.02426,0.152085952,0.123903839,0,-0.237047178,0.338935568,0.213969595,-0.077768701,0,-0.399458303,0.415316914,-0.0872665
0.05,-0.121714649,-0.054920706,-0.031825935,0.00096,0.92839502,0.02471,0.152932366,0.124317811,0,-0.241227054,0.342580034,0.216138892,-0.077781066,0,-0.405620032,0.418435443,-0.0872665
0.058,-0.123649662,-0.055985436,-0.029737122,0.00086,0.92794698,0.02574,0.156580795,0.127028035,0,-0.244232969,0.347186684,0.22245883,-0.080322256,0,-0.412662416,0.422139366,-0.0872665
0.067,-0.122521064,-0.056344903,-0.030761144,0.00146,0.927913,0.02666,0.155752823,0.128694632,0,-0.246240302,0.347893755,0.222430867,-0.08172392,0,-0.417113162,0.422692928,-0.0872665
0.075,-0.122846933,-0.056733585,-0.03036686,0.0018,0.92756211,0.02712,0.156770642,0.12972268,0,-0.248454893,0.350427119,0.228209974,-0.082507134,0,-0.428979416,0.425807617,-0.0872665
0.083,-0.12217159,-0.056720633,-0.031957598,0.00229,0.92733966,0.02802,0.155804057,0.130916518,0,-0.249679963,0.350939012,0.228854936,-0.083165517,0,-0.433970794,0.42593708,-0.0872665
0.092,-0.123913811,-0.057316369,-0.031534591,0.00208,0.92690676,0.02874,0.157287694,0.132505073,0,-0.2491756,0.352719986,0.238770025,-0.084766088,0,-0.4498034,0.426444896,-0.0872665
0.1,-0.124769946,-0.057792944,-0.032194818,0.0021,0.92660885,0.02931,0.158578866,0.13360175,0,-0.250724038,0.352973202,0.245043331,-0.085879333,0,-0.460773498,0.426850161,-0.0872665
0.108,-0.126202149,-0.05784554,-0.03336438,0.00192,0.92619656,0.02995,0.163479163,0.134449535,0,-0.257650662,0.35549029,0.251917634,-0.086652982,0,-0.470837002,0.427007779,-0.0872665
0.117,-0.126369214,-0.057851824,-0.034537212,0.00223,0.92585584,0.03059,0.164780112,0.135435208,0,-0.260633003,0.358419614,0.257405017,-0.087370317,0,-0.482277428,0.425674462,-0.0872665
0.125,-0.12561093,-0.057818434,-0.036330239,0.00286,0.92557864,0.03119,0.164496744,0.136213598,0,-0.263303865,0.360289496,0.261681699,-0.087977021,0,-0.4943586,0.424722752,-0.0872665
0.133,-0.124439211,-0.057776376,-0.037220346,0.00363,0.92545969,0.03178,0.162536367,0.136847778,0,-0.263888276,0.361608331,0.264908979,-0.088588602,0,-0.505167549,0.422852466,-0.0872665
0.142,-0.124754733,-0.058273626,-0.037845743,0.00386,0.92515228,0.03245,0.163178631,0.13838565,0,-0.265233614,0.363594566,0.271037358,-0.089896029,0,-0.517039842,0.41993468,-0.0872665
0.15,-0.125687876,-0.058493786,-0.038651523,0.00387,0.92470482,0.03311,0.165437857,0.139621916,0,-0.268094451,0.365586264,0.278562141,-0.09076624,0,-0.52977126,0.417894175,-0.0872665
0.158,-0.125653913,-0.057878251,-0.040294838,0.00429,0.92451267,0.03391,0.165218367,0.140015571,0,-0.268868801,0.366535648,0.282905191,-0.090691787,0,-0.539784794,0.416348377,-0.0872665
0.167,-0.127320306,-0.058912041,-0.038713306,0.00448,0.9240077,0.03479,0.16644781,0.142347658,0,-0.268347588,0.369884193,0.294024255,-0.092961678,0,-0.557987689,0.412607841,-0.0872665
0.175,-0.12695023,-0.05912945,-0.038178676,0.00518,0.92373015,0.0354,0.165981143,0.143351221,0,-0.270094764,0.372969025,0.30106228,-0.093604645,0,-0.572939563,0.408038265,-0.0872665
0.183,-0.126731794,-0.059272035,-0.038487466,0.00582,0.92347972,0.03603,0.165865422,0.144386514,0,-0.272215688,0.375791519,0.308088978,-0.094255884,0,-0.58863139,0.40471667,-0.0872665
0.192,-0.126171122,-0.059302968,-0.039725404,0.0066,0.92334262,0.03667,0.164423382,0.145207136,0,-0.27309085,0.378236605,0.314697791,-0.094683162,0,-0.605530393,0.399871131,-0.0872665
0.2,-0.127714914,-0.059755321,-0.039742299,0.00641,0.92307143,0.03737,0.166533573,0.146608205,0,-0.273829832,0.378879165,0.327684997,-0.095614558,0,-0.626529417,0.391993139,-0.0872665
0.208,-0.128671101,-0.060133666,-0.040178032,0.00652,0.92285118,0.03805,0.167816988,0.147838832,0,-0.2750173,0.379277858,0.339660345,-0.09639318,0,-0.646752356,0.382297753,-0.0872665
0.217,-0.129543733,-0.059880661,-0.041341889,0.00658,0.92267494,0.03879,0.170131545,0.148581434,0,-0.278242678,0.380598102,0.351625608,-0.096747853,0,-0.667379665,0.366878602,-0.0872665
0.225,-0.129579553,-0.060127155,-0.041616003,0.00711,0.92253501,0.03951,0.168508446,0.1498318,0,-0.27608402,0.381611886,0.362678093,-0.097638007,0,-0.688987868,0.359005903,-0.0872665
0.233,-0.131154354,-0.059845787,-0.042677296,0.00729,0.92230125,0.04013,0.170614814,0.150404343,0,-0.277533965,0.382477967,0.376030786,-0.097678404,0,-0.710513975,0.346335664,-0.0872665
0.242,-0.133207851,-0.059624166,-0.043271506,0.00729,0.92197631,0.04071,0.174000164,0.151047706,0,-0.28045068,0.384884568,0.391711312,-0.097764796,0,-0.734318113,0.330088382,-0.0872665
0.25,-0.133137257,-0.060030588,-0.042603061,0.00792,0.92184659,0.04132,0.171890526,0.152233886,0,-0.278432418,0.385828602,0.405238584,-0.098336582,0,-0.760232008,0.319851316,-0.0872665
0.258,-0.134881281,-0.05978658,-0.044431705,0.00801,0.92171122,0.04196,0.174799517,0.152872082,0,-0.281210265,0.385697382,0.42151691,-0.098296317,0,-0.786226834,0.295288604,-0.0872665
0.267,-0.135964619,-0.058998421,-0.044960715,0.00848,0.92152871,0.04243,0.173342328,0.152772155,0,-0.276379158,0.388649573,0.436005751,-0.097692452,0,-0.809542637,0.285579888,-0.0872665
0.275,-0.136736875,-0.057739674,-0.046045886,0.00894,0.92147701,0.04279,0.173262873,0.152021508,0,-0.275024522,0.39109514,0.44939767,-0.09657825,0,-0.831176827,0.267143617,-0.0872665
0.283,-0.137881015,-0.058287113,-0.046922482,0.00948,0.92132485,0.04336,0.173300641,0.153305181,0,-0.274397767,0.388649997,0.463741715,-0.097522389,0,-0.854790656,0.257534595,-0.0872665
0.292,-0.138516937,-0.058368368,-0.047191321,0.01021,0.92126531,0.04391,0.172272648,0.154024043,0,-0.273567733,0.385821459,0.4765628,-0.097557312,0,-0.876914066,0.241204302,-0.0872665
0.3,-0.139485478,-0.058107019,-0.04801777,0.01084,0.92115619,0.0444,0.172231432,0.154398326,0,-0.273138564,0.384595554,0.489619539,-0.097463694,0,-0.895662928,0.223555753,-0.0872665
0.308,-0.140499363,-0.057529024,-0.047873395,0.01158,0.92099827,0.04456,0.170562361,0.153818413,0,-0.269522317,0.385268249,0.502532231,-0.096254275,0,-0.912443427,0.222195709,-0.0872665
0.317,-0.142381239,-0.057642761,-0.048330117,0.01216,0.92078054,0.04497,0.169743642,0.154442093,0,-0.265232656,0.386399962,0.516581951,-0.096532887,0,-0.926915487,0.221409735,-0.0872665
0.325,-0.144006663,-0.057789984,-0.048928306,0.0127,0.92065443,0.04541,0.169101754,0.155322243,0,-0.261801322,0.386951733,0.529586152,-0.096700718,0,-0.93804562,0.224246173,-0.0872665
0.333,-0.144774988,-0.057649771,-0.050126474,0.01343,0.92061094,0.04585,0.167466196,0.15577646,0,-0.259089635,0.387243003,0.540468053,-0.096430063,0,-0.946739724,0.228974195,-0.0872665
0.342,-0.145951417,-0.057564719,-0.050562597,0.01408,0.92047522,0.04606,0.166425826,0.155975106,0,-0.256512941,0.387048701,0.551931464,-0.095922664,0,-0.953886434,0.23328777,-0.0872665
0.35,-0.14774421,-0.057597762,-0.050428071,0.01505,0.92036609,0.04631,0.164837092,0.156369937,0,-0.252060291,0.386403225,0.562815637,-0.095533555,0,-0.957548078,0.236576771,-0.0872665
0.358,-0.149607294,-0.057504115,-0.049556551,0.01597,0.92023679,0.0465,0.162782377,0.156418811,0,-0.246319419,0.385272737,0.573824386,-0.094748935,0,-0.959489676,0.238891392,-0.0872665
0.367,-0.150876597,-0.057821641,-0.049190958,0.01695,0.92016723,0.04677,0.159920492,0.157046038,0,-0.240316169,0.383603709,0.583664122,-0.094601577,0,-0.95954479,0.240714122,-0.0872665
0.375,-0.15022578,-0.05944951,-0.046603403,0.01871,0.92023003,0.04707,0.149512615,0.159000538,0,-0.224651254,0.377500868,0.590263289,-0.095775706,0,-0.956530224,0.243910238,-0.0872665
0.383,-0.150963083,-0.059447284,-0.047416855,0.02049,0.92000173,0.04704,0.146048021,0.158907625,0,-0.22098397,0.379030437,0.59696381,-0.095102675,0,-0.951676712,0.245698882,-0.0872665
0.392,-0.152182002,-0.059826921,-0.047359096,0.02147,0.91980038,0.04727,0.14424236,0.159564084,0,-0.217517592,0.379871615,0.605334889,-0.095311753,0,-0.945216681,0.247215804,-0.0872665
0.4,-0.151045539,-0.059648671,-0.044340334,0.02348,0.92001084,0.04709,0.132177704,0.158776735,0,-0.199850197,0.374030427,0.609435152,-0.093578727,0,-0.935004345,0.254040904,-0.0872665
0.408,-0.152921641,-0.059655942,-0.043607598,0.02468,0.91984362,0.04718,0.131247134,0.158922745,0,-0.197205444,0.374136657,0.618010781,-0.092849987,0,-0.923310908,0.255539007,-0.0872665
0.417,-0.154069685,-0.0590761,-0.041445939,0.02637,0.91992224,0.04691,0.123903842,0.15781381,0,-0.183400563,0.36695688,0.624141989,-0.090088885,0,-0.908973102,0.262801265,-0.0872665
0.425,-0.156183544,-0.059014799,-0.040856118,0.02758,0.91974664,0.04673,0.124915193,0.157588067,0,-0.183831948,0.368458308,0.631666495,-0.088656594,0,-0.894825455,0.261838548,-0.0872665
0.433,-0.161061339,-0.057186878,-0.044457856,0.02785,0.91912667,0.04639,0.144005523,0.155638864,0,-0.213452765,0.381441247,0.641851743,-0.086102284,0,-0.879664722,0.257051101,-0.0872665
0.442,-0.16347638,-0.056611934,-0.044373314,0.02933,0.91896953,0.04629,0.143751483,0.154675442,0,-0.211486728,0.381734721,0.647168341,-0.084280312,0,-0.861393889,0.255857777,-0.0872665
0.45,-0.165204692,-0.056162306,-0.043569178,0.03101,0.91883776,0.04626,0.142427789,0.154071081,0,-0.209471851,0.381602241,0.651473843,-0.082432022,0,-0.84212489,0.255247962,-0.0872665
0.458,-0.167363839,-0.056114661,-0.043144474,0.03266,0.91851612,0.04635,0.141619456,0.154192781,0,-0.207473779,0.382942908,0.656669279,-0.08165768,0,-0.822742748,0.256360299,-0.0872665
0.467,-0.168391851,-0.054838793,-0.042481663,0.03471,0.91835308,0.04586,0.139798869,0.15205848,0,-0.206511384,0.38444655,0.659090765,-0.078518761,0,-0.801796844,0.255575487,-0.0872665
0.475,-0.170095277,-0.054346146,-0.043172273,0.03668,0.91804051,0.04562,0.138579238,0.151186499,0,-0.205166951,0.386159233,0.662091491,-0.076952903,0,-0.781821155,0.250027515,-0.0872665
0.483,-0.172403987,-0.054589148,-0.042228594,0.03856,0.91769287,0.04546,0.139177984,0.151325647,0,-0.205919262,0.387355551,0.665644959,-0.075836455,0,-0.759649162,0.247048508,-0.0872665
0.492,-0.175446987,-0.054355273,-0.041701928,0.04021,0.91738375,0.04525,0.141967288,0.150802246,0,-0.20898468,0.388363411,0.668272844,-0.07417522,0,-0.731831904,0.246871612,-0.0872665
0.5,-0.178341255,-0.053368034,-0.042998128,0.04185,0.91706698,0.04493,0.143371839,0.149341663,0,-0.209635711,0.389726436,0.671321655,-0.072748853,0,-0.709086615,0.241915887,-0.0872665
0.508,-0.180718162,-0.052577239,-0.043989528,0.04372,0.91674009,0.04464,0.143404319,0.148237745,0,-0.209250428,0.391671304,0.673157626,-0.071270591,0,-0.684725837,0.236280291,-0.0872665
0.517,-0.183189436,-0.052058388,-0.045222287,0.04566,0.91635717,0.04428,0.144695159,0.14729242,0,-0.211378616,0.39403365,0.674699241,-0.069846032,0,-0.66028703,0.230746021,-0.0872665
0.525,-0.18562623,-0.051555282,-0.047174229,0.04766,0.91584161,0.04399,0.146320689,0.146420553,0,-0.214603568,0.397454663,0.676737322,-0.069052496,0,-0.638468859,0.225859334,-0.0872665
0.533,-0.187466721,-0.051042079,-0.047910232,0.04993,0.91531013,0.04362,0.147003019,0.145389966,0,-0.218046605,0.401606289,0.678123602,-0.067751156,0,-0.617478258,0.219714832,-0.0872665
0.542,-0.189356284,-0.05052748,-0.047027795,0.05249,0.91489309,0.04293,0.146464956,0.143741612,0,-0.219418921,0.404356216,0.677863158,-0.065492723,0,-0.594166992,0.215643162,-0.0872665
0.55,-0.192260222,-0.050423534,-0.046375193,0.05469,0.91450317,0.04245,0.147575327,0.142990247,0,-0.220810332,0.406165413,0.677785164,-0.064169698,0,-0.568935572,0.211633961,-0.0872665
0.558,-0.195405451,-0.050585244,-0.047414855,0.05691,0.91411668,0.04223,0.149338673,0.142942273,0,-0.223228312,0.407755622,0.67798001,-0.064035746,0,-0.545219807,0.207332078,-0.0872665
0.567,-0.19794558,-0.04973493,-0.04772381,0.05938,0.91376571,0.04148,0.149662543,0.140896845,0,-0.224440338,0.410651154,0.677492185,-0.061737198,0,-0.523010231,0.204307978,-0.0872665
0.575,-0.200319358,-0.050065854,-0.048871613,0.06197,0.91319307,0.0412,0.150001677,0.140878818,0,-0.2270045,0.414047869,0.676646295,-0.061823798,0,-0.503153812,0.203578688,-0.0872665
