time,pelvis_tilt,pelvis_tilt_vel,pelvis_list,pelvis_list_vel,pelvis_rotation,pelvis_rotation_vel,pelvis_tx,pelvis_tx_vel,pelvis_ty,pelvis_ty_vel,pelvis_tz,pelvis_tz_vel,hip_flexion_r,hip_flexion_r_vel,hip_adduction_r,hip_adduction_r_vel,hip_rotation_r,hip_rotation_r_vel,knee_angle_r,knee_angle_r_vel,ankle_angle_r,ankle_angle_r_vel,hip_flexion_l,hip_flexion_l_vel,hip_adduction_l,hip_adduction_l_vel,hip_rotation_l,hip_rotation_l_vel,knee_angle_l,knee_angle_l_vel,ankle_angle_l,ankle_angle_l_vel,lumbar_extension,lumbar_extension_vel
0.000,-0.121,-0.026,-0.056,0.038,-0.026,-0.002,0.000,0.039,0.930,-0.015,0.021,0.061,0.143,0.001,0.120,0.039,0.000,0.000,-0.220,-0.011,0.329,0.005,0.202,0.000,-0.075,0.010,0.000,0.000,-0.374,-0.021,0.408,0.005,-0.087,0.000
0.008,-0.121,-0.287,-0.055,-0.091,-0.026,-0.101,0.000,-0.071,0.930,-0.061,0.022,0.095,0.143,0.857,0.120,0.241,0.000,0.000,-0.220,-0.991,0.329,0.502,0.202,0.875,-0.075,-0.200,0.000,0.000,-0.374,-1.057,0.408,0.352,-0.087,0.000
0.017,-0.123,0.009,-0.056,0.047,-0.027,-0.166,0.000,0.029,0.929,-0.002,0.022,0.081,0.150,-0.017,0.122,0.048,0.000,0.000,-0.228,-0.074,0.333,0.020,0.209,-0.017,-0.076,-0.018,0.000,0.000,-0.383,-0.134,0.411,-0.017,-0.087,0.000
0.025,-0.123,-0.067,-0.056,-0.024,-0.029,-0.245,0.000,0.001,0.929,-0.055,0.023,0.081,0.150,0.404,0.122,0.153,0.000,0.000,-0.229,-0.715,0.333,0.604,0.209,0.760,-0.076,-0.134,0.000,0.000,-0.384,-1.551,0.411,0.452,-0.087,0.000
0.033,-0.124,0.175,-0.056,0.049,-0.031,-0.225,0.000,0.086,0.929,-0.020,0.024,0.077,0.153,-0.133,0.123,0.051,0.000,0.000,-0.235,-0.318,0.338,0.080,0.215,-0.106,-0.077,-0.052,0.000,0.000,-0.396,-0.422,0.415,0.073,-0.087,0.000
0.042,-0.122,0.077,-0.055,0.064,-0.032,0.064,0.001,0.036,0.929,-0.053,0.024,0.056,0.152,0.106,0.124,0.052,0.000,0.000,-0.237,-0.522,0.339,0.456,0.214,0.271,-0.078,-0.002,0.000,0.000,-0.399,-0.770,0.415,0.390,-0.087,0.000
0.050,-0.122,-0.242,-0.055,-0.133,-0.032,0.261,0.001,-0.013,0.928,-0.056,0.025,0.129,0.153,0.456,0.124,0.339,0.000,0.000,-0.241,-0.376,0.343,0.576,0.216,0.790,-0.078,-0.318,0.000,0.000,-0.406,-0.880,0.418,0.463,-0.087,0.000
0.058,-0.124,0.141,-0.056,-0.045,-0.030,-0.128,0.001,0.075,0.928,-0.004,0.026,0.115,0.157,-0.103,0.127,0.208,0.000,0.000,-0.244,-0.251,0.347,0.088,0.222,-0.003,-0.080,-0.175,0.000,0.000,-0.413,-0.556,0.422,0.069,-0.087,0.000
0.067,-0.123,-0.041,-0.056,-0.049,-0.031,0.049,0.001,0.043,0.928,-0.044,0.027,0.057,0.156,0.127,0.129,0.129,0.000,0.000,-0.246,-0.277,0.348,0.317,0.222,0.722,-0.082,-0.098,0.000,0.000,-0.417,-1.483,0.423,0.389,-0.087,0.000
0.075,-0.123,0.084,-0.057,0.002,-0.030,-0.199,0.002,0.061,0.928,-0.028,0.027,0.113,0.157,-0.121,0.130,0.149,0.000,0.000,-0.248,-0.153,0.350,0.064,0.228,0.081,-0.083,-0.082,0.000,0.000,-0.429,-0.624,0.426,0.016,-0.087,0.000
0.083,-0.122,-0.218,-0.057,-0.074,-0.032,0.053,0.002,-0.026,0.927,-0.054,0.028,0.090,0.156,0.185,0.131,0.199,0.000,0.000,-0.250,0.063,0.351,0.223,0.229,1.239,-0.083,-0.200,0.000,0.000,-0.434,-1.979,0.426,0.063,-0.087,0.000
0.092,-0.124,-0.107,-0.057,-0.060,-0.032,-0.083,0.002,0.003,0.927,-0.037,0.029,0.071,0.157,0.161,0.133,0.137,0.000,0.000,-0.249,-0.194,0.353,0.032,0.239,0.784,-0.085,-0.139,0.000,0.000,-0.450,-1.371,0.426,0.051,-0.087,0.000
0.100,-0.125,-0.179,-0.058,-0.007,-0.032,-0.146,0.002,-0.023,0.927,-0.052,0.029,0.080,0.159,0.613,0.134,0.106,0.000,0.000,-0.251,-0.866,0.353,0.315,0.245,0.859,-0.086,-0.097,0.000,0.000,-0.461,-1.258,0.427,0.020,-0.087,0.000
0.108,-0.126,-0.021,-0.058,-0.001,-0.033,-0.147,0.002,0.039,0.926,-0.043,0.030,0.080,0.163,0.163,0.134,0.123,0.000,0.000,-0.258,-0.373,0.355,0.366,0.252,0.686,-0.087,-0.090,0.000,0.000,-0.471,-1.430,0.427,-0.167,-0.087,0.000
0.117,-0.126,0.095,-0.058,0.004,-0.035,-0.224,0.002,0.079,0.926,-0.035,0.031,0.075,0.165,-0.035,0.135,0.097,0.000,0.000,-0.261,-0.334,0.358,0.234,0.257,0.535,-0.087,-0.076,0.000,0.000,-0.482,-1.510,0.426,-0.119,-0.087,0.000
0.125,-0.126,0.146,-0.058,0.005,-0.036,-0.111,0.003,0.096,0.926,-0.015,0.031,0.074,0.164,-0.245,0.136,0.079,0.000,0.000,-0.263,-0.073,0.360,0.165,0.262,0.403,-0.088,-0.076,0.000,0.000,-0.494,-1.351,0.425,-0.234,-0.087,0.000
0.133,-0.124,-0.039,-0.058,-0.062,-0.037,-0.078,0.004,0.029,0.925,-0.038,0.032,0.084,0.163,0.080,0.137,0.192,0.000,0.000,-0.264,-0.168,0.362,0.248,0.265,0.766,-0.089,-0.163,0.000,0.000,-0.505,-1.484,0.423,-0.365,-0.087,0.000
0.142,-0.125,-0.117,-0.058,-0.028,-0.038,-0.101,0.004,0.001,0.925,-0.056,0.032,0.083,0.163,0.282,0.138,0.155,0.000,0.000,-0.265,-0.358,0.364,0.249,0.271,0.941,-0.090,-0.109,0.000,0.000,-0.517,-1.591,0.420,-0.255,-0.087,0.000
0.150,-0.126,0.004,-0.058,0.077,-0.039,-0.205,0.004,0.053,0.925,-0.024,0.033,0.100,0.165,-0.027,0.140,0.049,0.000,0.000,-0.268,-0.097,0.366,0.119,0.279,0.543,-0.091,0.009,0.000,0.000,-0.530,-1.252,0.418,-0.193,-0.087,0.000
0.158,-0.126,-0.208,-0.058,-0.129,-0.040,0.198,0.004,0.024,0.925,-0.063,0.034,0.110,0.165,0.154,0.140,0.292,0.000,0.000,-0.269,0.065,0.367,0.419,0.283,1.390,-0.091,-0.284,0.000,0.000,-0.540,-2.275,0.416,-0.468,-0.087,0.000
0.167,-0.127,0.046,-0.059,-0.027,-0.039,0.067,0.004,0.088,0.924,-0.035,0.035,0.076,0.166,-0.058,0.142,0.125,0.000,0.000,-0.268,-0.218,0.370,0.386,0.294,0.880,-0.093,-0.080,0.000,0.000,-0.558,-1.869,0.413,-0.571,-0.087,0.000
0.175,-0.127,0.027,-0.059,-0.018,-0.038,-0.039,0.005,0.080,0.924,-0.031,0.035,0.079,0.166,-0.014,0.143,0.129,0.000,0.000,-0.270,-0.265,0.373,0.353,0.301,0.878,-0.094,-0.081,0.000,0.000,-0.573,-1.961,0.408,-0.415,-0.087,0.000
0.183,-0.127,0.070,-0.059,-0.004,-0.038,-0.155,0.006,0.098,0.923,-0.017,0.036,0.080,0.166,-0.180,0.144,0.103,0.000,0.000,-0.272,-0.109,0.376,0.306,0.308,0.826,-0.094,-0.053,0.000,0.000,-0.589,-2.112,0.405,-0.606,-0.087,0.000
0.192,-0.126,-0.193,-0.059,-0.057,-0.040,-0.002,0.007,-0.024,0.923,-0.034,0.037,0.087,0.164,0.264,0.145,0.175,0.000,0.000,-0.273,-0.092,0.378,0.080,0.315,1.623,-0.095,-0.116,0.000,0.000,-0.606,-2.625,0.400,-0.985,-0.087,0.000
